final_x, final_y, final_z, guessed_x, guessed_y, guessed_z
-0.028237, -0.125114, -0.279846, -0.185987, -0.120168, -0.241401
-0.029361, -0.123459, -0.281678, -0.185284, -0.120195, -0.244630
-0.028516, -0.123981, -0.282964, -0.200201, -0.132518, -0.275111
-0.028312, -0.122773, -0.284793, -0.196641, -0.127307, -0.269652
-0.028123, -0.123376, -0.285012, -0.188599, -0.118548, -0.246622
-0.028401, -0.123817, -0.285368, -0.192794, -0.119600, -0.250087
-0.030459, -0.124082, -0.285445, -0.196545, -0.121642, -0.252747
-0.031225, -0.125707, -0.286525, -0.199062, -0.125593, -0.259675
-0.031712, -0.125000, -0.286680, -0.202393, -0.126980, -0.264177
-0.031740, -0.127067, -0.285738, -0.199458, -0.125850, -0.256150
-0.031072, -0.125915, -0.286755, -0.198266, -0.127072, -0.264610
-0.032437, -0.125578, -0.287662, -0.197712, -0.125678, -0.261226
-0.032808, -0.126354, -0.286701, -0.202964, -0.131003, -0.271423
-0.033348, -0.126442, -0.286690, -0.208229, -0.129885, -0.269725
-0.034941, -0.126914, -0.286871, -0.203649, -0.128456, -0.266048
-0.035814, -0.126830, -0.286315, -0.206173, -0.127784, -0.265161
-0.036117, -0.126718, -0.285940, -0.206634, -0.127426, -0.262981
-0.038083, -0.126835, -0.286461, -0.207393, -0.127790, -0.266756
-0.040227, -0.124245, -0.286347, -0.206017, -0.120265, -0.249656
-0.041605, -0.123732, -0.286145, -0.208444, -0.123665, -0.260248
-0.042425, -0.121748, -0.285667, -0.209549, -0.121266, -0.258405
-0.043743, -0.118831, -0.286470, -0.209804, -0.117640, -0.258918
-0.044687, -0.116334, -0.286496, -0.211569, -0.115556, -0.258097
-0.045455, -0.113985, -0.286817, -0.213298, -0.111833, -0.254211
-0.045779, -0.111758, -0.286852, -0.212449, -0.110863, -0.259166
-0.045627, -0.107976, -0.286492, -0.211387, -0.105674, -0.252093
-0.045391, -0.107066, -0.286248, -0.210534, -0.106103, -0.253254
-0.045565, -0.105737, -0.285078, -0.211240, -0.104178, -0.250585
-0.044974, -0.103666, -0.283899, -0.211377, -0.104201, -0.254181
-0.044715, -0.101420, -0.283095, -0.211264, -0.102065, -0.252182
-0.043123, -0.101401, -0.281848, -0.210452, -0.100086, -0.247313
-0.042841, -0.102073, -0.281511, -0.209602, -0.101775, -0.251116
-0.042442, -0.101849, -0.281413, -0.207484, -0.101778, -0.250570
-0.041254, -0.101608, -0.282290, -0.215790, -0.101532, -0.255308
-0.041205, -0.101901, -0.282224, -0.207369, -0.101904, -0.249833
-0.041497, -0.102733, -0.283370, -0.209606, -0.103644, -0.253648
-0.040229, -0.104540, -0.283144, -0.198465, -0.102919, -0.242994
-0.039297, -0.103924, -0.284551, -0.192717, -0.099438, -0.238410
-0.039257, -0.105625, -0.285059, -0.192345, -0.101855, -0.243326
-0.037031, -0.109366, -0.283297, -0.193030, -0.104285, -0.239685
-0.035016, -0.113304, -0.281754, -0.193564, -0.108463, -0.240100
-0.034054, -0.112940, -0.284051, -0.192972, -0.105411, -0.241807
-0.031597, -0.116136, -0.278631, -0.194437, -0.111026, -0.246283
